City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
333,Olinda,BR,74.93,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
337,Cotonou,BJ,80.58,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
338,Pailon,BO,74.3,broken clouds,-17.65,-62.75,Alojamiento pailon
341,Lafiagi,NG,75.69,overcast clouds,8.8667,5.4167,Bus group international
342,Korhogo,CI,71.35,few clouds,9.45,-5.6333,Hôtel Tchinbota
344,Fairbanks,US,72.61,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
350,Banikoara,BJ,76.86,scattered clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
352,La Macarena,CO,71.44,broken clouds,2.1837,-73.7849,Hotel Punto Verde
364,Salina,US,75.33,clear sky,38.8403,-97.6114,"Holiday Inn Express & Suites Salina, an IHG Hotel"
370,Maragogi,BR,75.7,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
371,Touros,BR,74.3,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
374,Isla Mujeres,MX,82.17,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
376,Half Moon Bay,US,74.19,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
379,Umm Lajj,SA,79.68,clear sky,25.0213,37.2685,Moon light Furnished Units
380,Oxbow,CA,78.75,scattered clouds,49.2333,-102.1676,Bow Manor Motor Hotel
383,Pampa,US,72.19,clear sky,35.5362,-100.9599,"Holiday Inn Express & Suites Pampa, an IHG Hotel"
384,Aswan,EG,76.23,clear sky,24.0934,32.907,Nuba Nile
385,Shenjiamen,CN,72.39,scattered clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
386,Moengo,SR,73.36,broken clouds,5.6167,-54.4,Masanga
396,Coahuayana,MX,79.5,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
403,Bandarbeyla,SO,80.08,scattered clouds,9.4942,50.8122,JABIR HOTEL
409,Rincon,US,79.86,broken clouds,32.296,-81.2354,Days Inn Rincon
410,Noumea,NC,77,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
418,Hamilton,US,73.99,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
422,Mayumba,GA,75.61,broken clouds,-3.432,10.6554,LIKWALE LODGE
423,Andros Town,BS,82.36,scattered clouds,24.7,-77.7667,Hanks place
425,Praia,CV,73.94,clear sky,14.9215,-23.5087,LT Aparthotel
429,Nizhniy Kuranakh,RU,77.81,overcast clouds,58.8353,125.4869,Park Pobedy
436,Rosita,NI,73.27,few clouds,13.9268,-84.4032,Hospedaje Zeledón
437,Puerto Madero,MX,82.87,broken clouds,14.7208,-92.4215,Hotel La Central
