City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,Bambous Virieux,MU,-20.3428,57.7575,66.45,94,20,2.93,few clouds
119,Te Anau,NZ,-45.4167,167.7167,47.95,78,14,1.21,few clouds
120,Ribeira Grande,PT,38.5167,-28.7,64.36,87,100,9.01,overcast clouds
121,Aldan,RU,58.6031,125.3894,75.27,37,91,5.91,overcast clouds
122,Pangoa,PE,-12.1167,-73.0,68.79,97,94,2.35,overcast clouds
123,Griffith,US,41.5284,-87.4237,81.09,56,1,1.99,clear sky
124,Georgetown,MY,5.4112,100.3354,85.95,81,20,1.01,few clouds
125,Khatanga,RU,71.9667,102.5,36.73,71,100,12.03,overcast clouds
126,Khislavichi,RU,54.1871,32.1582,54.09,74,73,5.39,light rain
127,Nabire,ID,-3.3667,135.4833,87.22,64,60,4.43,broken clouds
128,Faanui,PF,-16.4833,-151.75,80.87,73,9,9.91,clear sky
129,Lompoc,US,34.6391,-120.4579,65.37,79,75,11.99,broken clouds
130,Igarka,RU,67.4667,86.5833,33.85,84,100,14.52,overcast clouds
131,Busselton,AU,-33.65,115.3333,63.05,77,79,14.85,broken clouds
132,Kahului,US,20.8947,-156.47,84.22,64,20,26.46,few clouds
133,Santa Cruz,BO,-17.8,-63.1667,72.86,83,75,6.53,light rain
134,Katsuura,JP,35.1333,140.3,69.91,93,100,3.51,overcast clouds
135,Neyshabur,IR,36.2133,58.7958,86.0,19,0,1.19,clear sky
136,Yulara,AU,-25.2406,130.9889,64.24,39,0,14.97,clear sky
137,Roebourne,AU,-20.7833,117.1333,78.66,45,67,16.17,broken clouds
138,Port Hedland,AU,-20.3167,118.5667,82.45,26,75,19.57,broken clouds
139,Tevriz,RU,57.509,72.4042,66.31,49,74,11.99,broken clouds
140,Salisbury,GB,51.0693,-1.7957,59.41,92,88,3.29,overcast clouds
141,Clyde River,CA,70.4692,-68.5914,32.23,100,90,18.41,mist
142,Kodiak,US,57.79,-152.4072,62.11,39,1,21.85,clear sky
143,The Colony,US,33.089,-96.8864,77.18,87,62,3.0,broken clouds
144,Dabat,ET,12.9842,37.765,59.86,36,71,7.29,broken clouds
145,Anyang,CN,36.0994,114.3289,101.53,9,2,10.31,light rain
146,Srednekolymsk,RU,67.45,153.6833,71.31,27,14,21.94,few clouds
147,Nanortalik,GL,60.1432,-45.2371,41.04,81,100,4.61,overcast clouds
148,Labrea,BR,-7.2586,-64.7981,76.35,85,100,1.07,overcast clouds
149,Klamath Falls,US,42.2249,-121.7817,66.11,24,1,16.11,clear sky
150,Bengkulu,ID,-3.8004,102.2655,81.91,75,14,1.16,few clouds
151,Saint-Philippe,RE,-21.3585,55.7679,71.47,83,57,2.13,light rain
152,Comodoro Rivadavia,AR,-45.8667,-67.5,40.86,70,0,6.91,clear sky
153,Cidreira,BR,-30.1811,-50.2056,64.67,92,100,9.93,overcast clouds
154,Evensk,RU,61.95,159.2333,45.64,90,100,4.38,overcast clouds
155,Esil,KZ,51.9556,66.4042,62.69,34,55,8.57,broken clouds
156,Mezen,RU,65.8522,44.24,45.19,57,21,8.63,few clouds
157,Butajira,ET,8.1167,38.3667,57.72,82,99,3.09,overcast clouds
158,Jamalpur,BD,24.9167,89.9333,84.65,77,95,9.6,overcast clouds
159,Falticeni,RO,47.45,26.3,58.24,89,84,3.83,broken clouds
